store_id,item_id,date,cnt
STORE_1,STORE_1_555,2011-01-29,51
STORE_1,STORE_1_555,2011-01-30,45
STORE_1,STORE_1_555,2011-01-31,25
STORE_1,STORE_1_555,2011-02-01,39
STORE_1,STORE_1_555,2011-02-02,23
STORE_1,STORE_1_555,2011-02-03,56
STORE_1,STORE_1_555,2011-02-04,46
STORE_1,STORE_1_555,2011-02-05,52
STORE_1,STORE_1_555,2011-02-06,61
STORE_1,STORE_1_555,2011-02-07,39
STORE_1,STORE_1_555,2011-02-08,46
STORE_1,STORE_1_555,2011-02-09,22
STORE_1,STORE_1_555,2011-02-10,39
STORE_1,STORE_1_555,2011-02-11,45
STORE_1,STORE_1_555,2011-02-12,51
STORE_1,STORE_1_555,2011-02-13,41
STORE_1,STORE_1_555,2011-02-14,32
STORE_1,STORE_1_555,2011-02-15,35
STORE_1,STORE_1_555,2011-02-16,47
STORE_1,STORE_1_555,2011-02-17,47
STORE_1,STORE_1_555,2011-02-18,37
STORE_1,STORE_1_555,2011-02-19,53
STORE_1,STORE_1_555,2011-02-20,51
STORE_1,STORE_1_555,2011-02-21,24
STORE_1,STORE_1_555,2011-02-22,32
STORE_1,STORE_1_555,2011-02-23,25
STORE_1,STORE_1_555,2011-02-24,26
STORE_1,STORE_1_555,2011-02-25,41
STORE_1,STORE_1_555,2011-02-26,57
STORE_1,STORE_1_555,2011-02-27,59
STORE_1,STORE_1_555,2011-02-28,36
STORE_1,STORE_1_555,2011-03-01,47
STORE_1,STORE_1_555,2011-03-02,44
STORE_1,STORE_1_555,2011-03-03,33
STORE_1,STORE_1_555,2011-03-04,32
STORE_1,STORE_1_555,2011-03-05,48
STORE_1,STORE_1_555,2011-03-06,28
STORE_1,STORE_1_555,2011-03-07,29
STORE_1,STORE_1_555,2011-03-08,32
STORE_1,STORE_1_555,2011-03-09,44
STORE_1,STORE_1_555,2011-03-10,35
STORE_1,STORE_1_555,2011-03-11,34
STORE_1,STORE_1_555,2011-03-12,48
STORE_1,STORE_1_555,2011-03-13,48
STORE_1,STORE_1_555,2011-03-14,32
STORE_1,STORE_1_555,2011-03-15,37
STORE_1,STORE_1_555,2011-03-16,38
STORE_1,STORE_1_555,2011-03-17,40
STORE_1,STORE_1_555,2011-03-18,32
STORE_1,STORE_1_555,2011-03-19,50
STORE_1,STORE_1_555,2011-03-20,38
STORE_1,STORE_1_555,2011-03-21,33
STORE_1,STORE_1_555,2011-03-22,23
STORE_1,STORE_1_555,2011-03-23,28
STORE_1,STORE_1_555,2011-03-24,23
STORE_1,STORE_1_555,2011-03-25,22
STORE_1,STORE_1_555,2011-03-26,40
STORE_1,STORE_1_555,2011-03-27,29
STORE_1,STORE_1_555,2011-03-28,33
STORE_1,STORE_1_555,2011-03-29,30
STORE_1,STORE_1_555,2011-03-30,22
STORE_1,STORE_1_555,2011-03-31,33
STORE_1,STORE_1_555,2011-04-01,38
STORE_1,STORE_1_555,2011-04-02,68
STORE_1,STORE_1_555,2011-04-03,45
STORE_1,STORE_1_555,2011-04-04,35
STORE_1,STORE_1_555,2011-04-05,17
STORE_1,STORE_1_555,2011-04-06,24
STORE_1,STORE_1_555,2011-04-07,15
STORE_1,STORE_1_555,2011-04-08,28
STORE_1,STORE_1_555,2011-04-09,41
STORE_1,STORE_1_555,2011-04-10,43
STORE_1,STORE_1_555,2011-04-11,36
STORE_1,STORE_1_555,2011-04-12,32
STORE_1,STORE_1_555,2011-04-13,40
STORE_1,STORE_1_555,2011-04-14,31
STORE_1,STORE_1_555,2011-04-15,35
STORE_1,STORE_1_555,2011-04-16,42
STORE_1,STORE_1_555,2011-04-17,45
STORE_1,STORE_1_555,2011-04-18,30
STORE_1,STORE_1_555,2011-04-19,17
STORE_1,STORE_1_555,2011-04-20,29
STORE_1,STORE_1_555,2011-04-21,31
STORE_1,STORE_1_555,2011-04-22,42
STORE_1,STORE_1_555,2011-04-23,42
STORE_1,STORE_1_555,2011-04-24,30
STORE_1,STORE_1_555,2011-04-25,22
STORE_1,STORE_1_555,2011-04-26,22
STORE_1,STORE_1_555,2011-04-27,36
STORE_1,STORE_1_555,2011-04-28,30
STORE_1,STORE_1_555,2011-04-29,35
STORE_1,STORE_1_555,2011-04-30,53
STORE_1,STORE_1_555,2011-05-01,17
STORE_1,STORE_1_555,2011-05-02,33
STORE_1,STORE_1_555,2011-05-03,18
STORE_1,STORE_1_555,2011-05-04,20
STORE_1,STORE_1_555,2011-05-05,25
STORE_1,STORE_1_555,2011-05-06,67
STORE_1,STORE_1_555,2011-05-07,61
STORE_1,STORE_1_555,2011-05-08,46
STORE_1,STORE_1_555,2011-05-09,29
STORE_1,STORE_1_555,2011-05-10,42
STORE_1,STORE_1_555,2011-05-11,36
STORE_1,STORE_1_555,2011-05-12,89
STORE_1,STORE_1_555,2011-05-13,40
STORE_1,STORE_1_555,2011-05-14,50
STORE_1,STORE_1_555,2011-05-15,50
STORE_1,STORE_1_555,2011-05-16,27
STORE_1,STORE_1_555,2011-05-17,41
STORE_1,STORE_1_555,2011-05-18,33
STORE_1,STORE_1_555,2011-05-19,35
STORE_1,STORE_1_555,2011-05-20,48
STORE_1,STORE_1_555,2011-05-21,52
STORE_1,STORE_1_555,2011-05-22,60
STORE_1,STORE_1_555,2011-05-23,37
STORE_1,STORE_1_555,2011-05-24,19
STORE_1,STORE_1_555,2011-05-25,16
STORE_1,STORE_1_555,2011-05-26,28
STORE_1,STORE_1_555,2011-05-27,40
STORE_1,STORE_1_555,2011-05-28,57
STORE_1,STORE_1_555,2011-05-29,39
STORE_1,STORE_1_555,2011-05-30,52
